COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
03,0094,4/6/2020,E,27,10,17,20,17,83,240,505,645,667,828,951,1002,967,1040,1148,1235,1076,594,478,314,196,112,82,12254,17,1235,,
03,0094,4/6/2020,W,25,15,10,25,75,275,782,1067,981,872,956,947,1002,976,972,940,757,714,485,423,264,167,96,47,12873,08,1067,,
87,0096,4/6/2020,N,145,85,66,74,150,323,561,618,523,491,503,562,607,601,650,788,764,707,619,437,348,285,238,187,10332,16,788,,
87,0096,4/6/2020,S,94,63,40,55,78,212,557,598,390,450,502,495,549,580,683,758,699,746,498,395,286,191,176,114,9209,16,758,,
93,0101,4/6/2020,E,70,49,41,76,179,561,1308,1818,1534,1373,1354,1390,1469,1575,1482,1604,1719,1486,1059,729,471,349,203,143,22042,08,1818,,
93,0101,4/6/2020,W,105,48,74,75,160,373,927,1214,1224,1272,1354,1434,1536,1534,1561,1719,2016,2102,1353,873,632,360,221,199,22366,18,2102,,
77,0102,4/6/2020,N,48,33,30,30,52,162,316,535,515,600,727,848,1001,917,1025,1040,1026,1062,809,612,455,233,175,102,12353,18,1062,,
77,0102,4/6/2020,S,37,35,26,49,78,266,611,758,736,713,769,901,955,911,917,915,963,931,701,563,391,247,165,88,12726,17,963,,
75,0104,4/6/2020,E,27,16,18,26,74,293,568,476,413,394,403,529,569,575,594,725,734,737,493,363,245,157,122,67,8618,18,737,,
75,0104,4/6/2020,W,32,19,21,36,84,297,480,500,430,441,405,474,588,507,525,624,662,674,456,328,230,167,112,44,8136,18,674,,
76,0105,4/6/2020,N,23,9,9,37,122,310,627,637,528,552,475,517,543,476,478,483,463,392,312,248,187,109,62,39,7638,08,637,,
76,0105,4/6/2020,S,33,16,8,26,27,99,204,263,274,349,438,427,476,534,523,657,732,847,572,371,258,134,93,71,7432,18,847,,
87,0108,4/6/2020,E,51,33,37,45,102,438,1450,2044,1845,1403,1137,1116,1089,1134,1212,1134,1052,1097,999,664,394,308,305,136,19225,08,2044,,
87,0108,4/6/2020,W,80,42,39,37,66,185,558,949,1071,1021,1089,1129,1231,1280,1578,1962,2134,1492,973,798,568,382,292,284,19240,17,2134,,
32,0112,4/6/2020,N,135,114,119,109,143,196,317,369,476,523,637,737,773,844,779,730,789,670,614,554,373,346,302,203,10852,14,844,,
32,0112,4/6/2020,S,197,159,167,197,236,286,344,405,410,404,468,441,490,566,595,664,628,633,475,482,409,343,269,223,9491,16,664,,
70,0113,4/6/2020,E,38,21,16,42,76,199,474,821,940,909,914,1078,1027,982,1013,990,1066,970,583,435,322,219,135,78,13348,12,1078,,
70,0113,4/6/2020,W,54,35,13,26,78,168,482,779,807,847,1059,1037,1177,1115,1110,1277,1223,1163,742,595,421,260,180,135,14783,16,1277,,
70,0114,4/6/2020,N,7,9,6,18,51,123,397,506,397,342,363,363,388,376,373,434,518,395,241,135,100,67,47,43,5699,17,518,,
70,0114,4/6/2020,S,16,10,10,14,43,142,385,407,325,297,321,340,392,399,393,475,522,508,276,175,104,66,59,29,5708,17,522,,
34,0116,4/6/2020,N,14,11,6,13,38,64,117,163,184,250,311,337,344,350,398,389,384,383,273,168,120,71,51,34,4473,15,398,,
34,0116,4/6/2020,S,10,9,14,32,47,87,202,289,294,285,311,342,348,326,325,281,295,277,183,147,87,65,29,27,4312,13,348,,
53,0117,4/6/2020,E,18,7,12,11,32,95,212,328,337,403,471,514,519,490,473,476,467,365,248,222,128,92,70,51,6041,13,519,,
53,0117,4/6/2020,W,14,8,6,13,24,77,277,364,355,425,489,548,552,486,508,505,488,390,254,218,131,91,68,23,6314,13,552,,
57,0122,4/6/2020,E,18,15,20,38,80,172,268,426,340,328,339,405,357,356,398,442,429,365,261,218,112,71,63,31,5552,16,442,,
57,0122,4/6/2020,W,27,14,9,22,22,148,243,265,288,328,334,347,406,367,406,482,520,488,279,210,144,79,62,40,5530,17,520,,
75,0130,4/6/2020,E,186,117,158,237,486,1449,2729,2490,2074,1868,1734,1689,1804,1843,1932,2247,2118,2026,1513,1130,759,655,491,343,32078,07,2729,,
